Country,Year Submitted
Albania,2021
Argentina,2023
Armenia,2021
Azerbaijan,2024
Bangladesh,2023
Benin,2022
Bhutan,2023
Bosnia and Herzegovina,2022
Brazil,2016
Burkina Faso,2015
Burundi,2023
Cabo Verde,2022
Cambodia,2021
Cameroon,2015
Central African Republic,2022
Chad,2022
Chile,2017
Colombia,2018
Costa Rica,2022
"Congo, Dem. Rep.",2022
Ecuador,2023
Ethiopia,2019
Fiji,2018
Ghana,2022
Grenada,2019
Guatemala,2019
Haiti,2023
Kenya,2017
Kiribati,2020
Kuwait,2021
Liberia,2021
Madagascar,2022
Marshall Islands,2023
Moldova,2024
Morocco,2024
Mozambique,2023
Nepal,2021
Niger,2022
Pakistan,2023
Papua New Guinea,2023
Paraguay,2020
Peru,2021
Philippines,2024
St. Lucia,2018
St. Vincent and the Grenadines,2019
Serbia,2024
Sierra Leone,2022
South Africa,2021
South Sudan,2021
Sri Lanka,2016
Sudan,2016
Suriname,2020
Thailand,2024
Timor Leste,2021
Togo,2018
Tonga,2021
Trinidad and Tobago,2024
Uruguay,2021
Zambia,2023
Zimbabwe,2024
